10 pizze,loc.,Speciale valutazione assegnabile solo una volta all'anno ad un contenuto ritenuto davvero incredibile,puntata 60
a piedi compresi,loc.,Espressione inventata da Sio al momento. Significato non pervenuto,puntata 91
abbassare la papera,loc.,seppellire l’ascia,aftershow 123
acquisire la licenza a,loc. v.,imparare a,aftershow 121
addizione,f.,dipendenza [dall'ingl. addiction],puntata 9
addressare,v. tr.,Rivolgere un argomento verso qualcuno [dall'ingl. to address],puntata 24
Adrian Fartade,n. p. m.,Un incredibile divulgatore scientifico che non è un procione,puntata 75
adulto overcriticone,loc. s.le m.,Lorro,puntata 33
amaro,m.,"Precedentemente chiamato ""la cosa brutta della puntata"", è in genere il segmento finale delle puntate di Power Pizza. Serve a recensire prodotti di intrattenimento particolarmente brutti",puntata 41
Anakin Starwars 7,loc. s.le m.,Il vero nome del figlio (bambolotto) di Sio,puntata 72
andare bananas,loc. v.,andare fuori di testa [dall'ingl. to go bananas],puntata 57
andare live,loc. v.,andare in onda [dall'ingl. to go live],puntata 54
angolodown,m.,"topdown, ma un po’ sfasato",puntata 83
ANSAMBZL,n.,ensemble,puntata 79
antitaschi,,Significato non pervenuto,puntata 82
ANTITOLD GOOSE GAME,"n. p., storp. ingl.",Untitled Goose Game secondo Lorro,puntata 25
apatetico,agg.,“apatico” [dall’ingl. apathetic],puntata 107
applausire,v. intr.,Applaudire al Lucca Comics,puntata 67
approvement,ingl.,“approvazione”,puntata speciale #2
Arrakis,,Formula magica segreta che fa ridere Nik 😅😅😅😅😅😭😞💪😄🦾🐡💥,puntata 100
arrivare con,v.,“essere accompagnato da” [dall'ingl. to come with],puntata 45
Arsenico Lupin,"n. p, storp",Famoso ladro che avvelena tutto ciò che tocca,puntata 125
aspettazione,f.,“aspettativa”,puntata 73
assassino cereale,loc. s.le m.,"Criminale con l'ossessione per il frumento e argomento principale del podcast ""Serial""",puntata 60
assolutamente sì,avv.,“sì”,puntata 62
assumere,v. intr.,"“presumere”, “dare per scontato”. [dall’ingl. to assume]",puntata 67
astante,m.,“(persona) che sta intorno”,puntata 69
attendere vigorosamente,loc. v.,“ATTENDERE”,puntata 83
avere le pezze ai piedi,loc. v.,“avere le pezze al c**o”,puntata 79
baffolato,agg.,“stupito” [dall'ingl. baffled],puntata 23
barattolo,m.,“baratto”,puntata 78
BEEYOPIC,m.,“biopic”,puntata 65
Bernardi-Inverecondito,m.,Dizionario in uso nelle migliori scuole di dislessia,puntata 66
bif,nt.,“risentimento” [dall'ingl. bif],puntata 70
Billy il ragazzo atomico,n. p. m.,"Ha tre pollici, uno dei quali rubato alla Regina Elisabetta",puntata 64
blasfromthepas,"m., storp. ingl.",“blast from the past”,puntata 66
blu,agg.,Colore della velocità,puntata 82
Bossji,,"La trasformazione raggiunta da Nik quando gioca a ""Overcooked”",puntata 53
brausare,v. intr.,Scorrere una pagina web in cerca di contenuti [dall'ingl. to browse],puntata 41
