anbocsare (o anbocsing),v.,"""fare unboxing""",credits a Lord tempus (Tempo)
Attendere,v. intr.,partecipare [dall’inglese to Attend],live di Martina del 14/10 - by Kiarix
bestagono dei mestoli,loc. s.le m.,Mestolo di legno,credits a Once Upon a Sam
caterba,s. f.,Caterva,
cibbo sdel cane,"loc. s.le m., storp.","""cibo per cani""",Dado su skribbl.io
crasciare,v.,Perdere la connessione interweb,credits a CherryBlue95
completudine,f.,completezza,credits a Rolf
destinatarsi,v.,"""destinarsi"" Es: ""In data da destinatarsi""",credits a XychoLight
duttile e dilettevole,loc. agg.le,"""duttile e malleabile""",
Hard Chiacchiere,lore,"Quando ci sono più chiacchiere che facts (contrario di ""Hard Facts"")",
intimido,storp.,"Voce del verbo ""intimidire""",credits a The Rusty Bat
lorridea,f.,Un’idea che coinvolge Lorro,credits a Xycholight
Nicola Berwards,pl.,Gli awards di Nik,credits a Coolflame
Non in Hype,n.c.,"""apatetico""",
non mi hai bisogno,storp.,"""non hai bisogno di me""",
pizze iper liquidine,loc. s.le f.,"Pizze con molti ingredienti, tendenzialmente umidi",credits a Nefion
punto esclarrogativo,loc. s.le m.,‽ [interrobang],credits a spkbri
rolfata,f.,Partire lontanissimo per centrare un punto,credits a Cherryblue95 + Rolf
Ultracchino,agg / s. m.,Un super tacchino o ultra-chino,credits a ale_benda
ÜSSS,inter.,Da usare quando si affronta un drago rosso,credits a edmael
Zio Blablablublu,"n. p. m., storp.","""The Uncle Cthulhu""",credits a Martina
zoompalle,n.c.,La rottura di palle nelle riunioni su/con zoom,credits a Nefion
