3D 3D che non fa finta di non essere 3D,loc.,"Effetto 3D tipo, metti, Shrek",puntata 65
abilità di spadaccinaggio,loc. s.le f.,"""abilità di spadaccino""",live del 7/12
affilatura (o affilataggine),f.,"""affilatezza""",
ambarabà ciccì coccò,n.c.,"""dicevamo""",live del 7/12 di Twitch
azzabadà,inter.,Rumore di danno,live varie di Twitch
baguette ,lore,"I grissini, ma lunghi più di 5 paragrafi ",puntata 122
Benediscono,v. ,Benedicono,puntata 125
blendata,agg.,"""fusa"", ""nascosta"", ""unita"" [dall'ingl. to blend]",puntata 121
confondere le acque,loc. v.le,"""confondere tutti""",puntata 3
dannaziona,"inter., storp.","""dannazione""",live del 7/12 su Twitch
disleggere,v. tr.,"""dimenticare di aver letto qualcosa""",puntata 121
ENTUSIASMOMETRO,n. p. m.,"Strumento che permette in una scala da 1 (essere in una pozzanghera) a 5 (l'idealizzazione di Sio) di esprimere quanto si è in hype riguardo un contenuto. (Sistema di valutazione ancora in beta)",puntata 123
grissocchi,"pl., lore, storp.","""grissini""",puntata 121
lollone,agg.,"""farbuffo"". Es: ""Fake account lolloni""",puntata 121
nike,pl.,Pizze mangiate da Nik,puntata 123
note dell'episodio,pl. f.,Lo scontrino dell'episodio,puntata 124
noverd,m.,"""nord""",live 18/12 su twitch
Patatine Seccone,f.,tortillas,live 27/12 su twitch
Porri,s. m.,parry,live 19/12 su Twitch
salvaggio,m.,"""salvataggio""",live 7/12 su twitch
sblirp,"inter., onom.",Rumore di freccia scoccata,live su twitch di Assassin's Creed Valhalla
scnedi,storp.,"""scendi""",live 18/12 su twitch
scratosch,onom.,Rumore di minerali che si frantumano,
sfrazzare,v. tr.,"""ricercare con animosità""",
sono una sacher,"loc., lore","""ho un debole per"", ""essere"" una torta sacher",dipende dal contesto
törcia,f.,"""torcia""",live 18/12 su twitch
uauauiuoua,,"sinonimo di Azzabdà, rumore di danno",live 9/01 di Twitch
Undirle,v.,ritirare quello precedentemente detto,Puntata 125
wowzer,inter.,Rumore di stupore,
"zzopp (o zop, zhop)","inter., onom.",Rumore di colpo di lama,
